research_geography,New,Cluster,Entry point
Vietnam,,Centralized_Industrial_Policy,Public pressure for environmental quality can be leveraged with an aggressive FiT policy for late entrants for mature solar for rapid-expansion if grid-connectivity can keep up. 
British Isles,,Regional_Autonomy,"Clear strategic focus for offshore wind, with simplified regulation and central One-Stop-Shop creation and using an Auction tendering model for contracts.  "
Brazil,,Adaptive_Pragmatists,"Policy entrepreneurship for RE as development and auction process led to cheaper solar rates, spurred by state support through policy and communication with focus on employment generation. "
Brazil,,Regional_Autonomy,"Policy Entrepreneurship Success leading to Wind Energy Auctions, aided by regulatory simplification and capacity building for governance and workforce creation "
India,,Adaptive_Pragmatists,"A strong solar policy mix including (ambitious target purchaser agreements and a subsidy system) can be motivated by international pressure and partnerships, domestic growth and energy sovereignty."
"South Africa, Mexico",,Adaptive_Pragmatists,Prioritizing local capacity building in auctioning procurement programs enables additional spillover for renewable deployment beyond the capacity awarded by the policy.
Phillipines,,Distributed_Industrial_Policy ,Methodological implementation of best practices FIT with costs passed to consumers and with a clear transparent rate and capacity structure maintained by an autonomous energy regulator. Tax breaks and incetives helped aleviate financial barriers and introduction of coal taxes expedited energy transition 
India,,Adaptive_Pragmatists,"Targeted policy leveraging technology maturity and nascent deployment, Design concentrated solar generation zones, with clear long term policy signals, with a mix of incentives and procurement mandates. Contracts sold through auctions managed to accelerate solar electricity production. "
South Africa,,Adaptive_Pragmatists,"Creation of an independent institution to oversee solar policy with learning and problem solving approaches, auction design with focus on balancing stakeholder needs and long term focus, financing with proper risk and due diligence backed by the state"
Uganda ,,Distributed_Industrial_Policy ,Government and international development assisted project employing elaborate de-risking and creditor protection provided financing options to project developers who were selected under an auction scheme and winners were offered a fixed rate FIT contract with premiums on successful completion 
Korea ,,Centralized_Industrial_Policy,"For states with increasing share in RE the policy pivot from inducing RE production towards maintaining RE policy sustainability and scalability is key, in the Korean case the shift away from FiT was motivated by unsustainable cost and administrative burdens. RPS has proven successful but problems in grid internconnetion and reinforcement block the process, the unique aspects of having a national utility provider concentrates this grid risk. Reforms to streamline grid interconnections and facilitating more incentives non-wind solar renewales helps diversify RE intermittency and geographical spread, for grid expansion itself strategic planning with dynamic reviews is critical. "
California,Blended_Finance,Financial Cross-Cutters,Easier Solar Approvals Process Required Local Governments to remove admistrative barriers to residential solar for sub 10KW projects reducing barriers to homeowner adoption. 
Germany,,Distributed_Industrial_Policy ,When environmently friendly parties are part of the federal government or if economic weak states see an opportunity to economic growth Fit are likely to increase the deployment of renewable energy.
Global,,,"Likely Spurious results due to poor estimation and identification strategy. The conclsion says there enabling factors and policy instruments aside from tax are ineffective and tax instrument design is irrelevant, strategic planning is measured as policy changes. "
Portugal,,Distributed_Industrial_Policy ,High Fit with long duration periods can increase windpower under given resource availability.
Ireland,,Distributed_Industrial_Policy ,"Motivated by the need to secure the energy supply and wind capacity, a combination of emissions targets and FIT can increase the share of wind energy."
California,,Market_Based,"Municipal level Home PV financing through bond sales, with long and transferable repayment periods incentivizing renewable investment without compromising residential mobility. "
Iran,,Distributed_Industrial_Policy ,"The effectiveness of FIT depends on socio-economic readiness (such as a skilled workforce), political stability and the share of private investment."
UK,,Regional_Autonomy,"Spatial aspects of the energy policy bring critical tensions between the regional and national levels of policymakers, while devolution and localisation enhance the reach of RE policy they are not sufficient as seen in the case of Northern Ireland and Wales with greater stakeholder participation inviting more dissent and roadblocks. Success in the Scottish case was through a unique mix of long term poltical concensus, an active network of policy entrepreneurs and strategic centralisation of large investments and projects. "
China,,Distributed_Industrial_Policy ,"Economic policies (FIT) combined with signalling of policy support and targets to satisfy the political objective of green growth in countries with high polution and abundant wind resources. (Price policy was more effective in areas with poor wind resources, whilst non- price policy was more effective in areas with rich wind resources.)"
Germany,,Distributed_Industrial_Policy ,"The creation of a diverse interest group can be facilitated by a distributed bottom up policy architecture which can successfully circumnavigate around entrenched incumbents, however this policy regime has high complexity and maintenance costs and can create substantial lock-in with unclear long term economic sustainability. "
"EU, China",,Centralized_Industrial_Policy,"Countries with sizeable wind power potential and expansion, can be motivated by reduced air pollution, energy security and employment to allocate large scale investments into wind power."
Ghana,Blended_Finance,Financial Cross-Cutters,Monthly PV instalment schemes combined with technical solar training centers can cushion high upfront costs and build local expertise.
Sweden ,,Market_Based,"Creation of tradeable Clean energy certificates issued to clean power producers with one year validity coupled with mandatory clean energy procurement quotas for large consumers, suitable for market based countries with heavy international trade exposure where subsidies might be not an option "
South Africa,,Adaptive_Pragmatists,Carefully constructed auction design can induce competitive bidding for lower prices with entry requirments that ensure due dilgence to lower risk and ensure project completion 
United States,Blended_Finance,Financial Cross-Cutters,Production tax credit increase the deployment of wind energy and further stimulate the effectiveness of state policies as renewable portfolio standard policies and mandatory green power options.
Sweden,,Regional_Autonomy,"Facing slow RE progress national policy was formulated to strategically  leverage Sweden's decentralised political structure distributing  and building competence, capacity and resposibility with diverse stakeholders. "
UK,,Market_Based,"Liberal Market Economies can struggle to achieve directional coordination required for market based structural change, the UK shows the value of policy experimentation and learning in conjuction with legal frameworks to singal commitment and the value of adopting a technology specific approach over neutral approaches. "
China,,Centralized_Industrial_Policy,"For Coordinated market economies like china strong executive policies can be applied across economic sectors leading to coordinated emissions reductions between industrial consumers and energy producers, however this also opens up issues in institutional prioritization with China displaying higher focus on industrial policy leading to more focus on installations and manufacturing capacity over grid connections and dispatch. Complex political dynamics and informational and power assymettries can lead to challenges in enforecement when climate is not a high agenda item. "
China,,Centralized_Industrial_Policy,"Ecological Civiliation is an ideological mix of EMT and strategic industry theory, under this ideological framework China's RE industry has been developed to harness ecological modernism while building a strategic industry in multiple arenas from energy security to economic export orientation, the strong state direction mixed with concentrated SOEs enabled rapid progress however the complexity of coordination and economic incentives create large bottlenecks for the future. "
United States,,Financial Cross-Cutters,"States implement financial tools to reduce up-front costs for residential solar using subsidies, tax breaks, loan financing. Legal support is also provided through solar rights "
Annex 2,,Financial Cross-Cutters,"For countries with developing financial  markets where access to credit and equity markets is inadequate for RE projects due to risk from illiquid investments and insufficient knowledge and skills in the finance and energy sectors, multilateral mechanisms like CDM can play a powerful role through financing options, providing access to credit, equity and liquidity as well as providing knowledge skills and a clear market signal for the support of these technologies. Policy makers in similar regions can employ financial sector reform to reap similar benefits in RE deployment. "
Germany,,Distributed_Industrial_Policy ,"Strategic policy to create an emissions avoidance industry via FiTs required a strong coalition with ample fiscal capacity on the state, this enabled collective investment in technologies which were not quite cost-competitive to reach cost-competitiveness and drove diverse investement across multiple RE technology. Pitfalls include insufficient attention to regressive dimensions of FiT pricing and grid cost balancing. "
China,,Centralized_Industrial_Policy,"Countries planning renewables expansion need to take into account coordination challenges in both supply and demand to achieve sustainable growth, The chinese case shows coordination in supply side policy with insufficient demand side coordination. Key benefits from chinese centralisation was easy access to finance with strong subsidy program designed to boost domestic industry however failure to keep up with grid and demand leading to oversupply of unusable wind energy and oversupply of wind manufacturing. "
Brazil,,Adaptive_Pragmatists,"A diverse overllapping policy mix needs synergistic and reinforcing effects, focusing on last mile and distributed energy generation can tackle vulnerabilities in RE grid expansion while expanding energy security to the periphery. "
United States,,Centralized_Industrial_Policy,"Decades long policy support created niche industry, instruments like investment tax relief, loan guarantees reduced invester risk and enabling the valley of death between R&D and market deployment "
China,Multi-Level_Industrial_Policy,Distributed_Industrial_Policy ,Adaptive localisation of central policy agenda with interest group advocacy can lead to major capacity gains with focus on infrastruture investment to enhance grid connection
UK,,Financial Cross-Cutters,"State Investment Bank was able to target underfinanced low-carbon tech through de-risking, capital provision, knowledge sharing and trust signalling. Its role was key in the early market stage of RE and vital to crowd in private investment. "
Germany,,Financial Cross-Cutters,National Development Bank was able to tackle gaps in risk awarness and project knowledge for RE projects in conjuction with long term financing key to RE takeoff
